model,prediction,reference,wer,domain_term_accuracy,domain_terms_in_reference,domain_terms_correct,noise_type,snr
Baseline," Code 10-31 in progress at 1420 Alma Street, proceeding with caution.","Code 10-31 in progress at 1420 Elm Street, proceeding with caution.",0.09090909090909091,1.0,1,1,crowd,5.0
Fine-tuned," Code 10-31 in progress at 1420 Alma Street, proceeding with caution.","Code 10-31 in progress at 1420 Elm Street, proceeding with caution.",0.09090909090909091,1.0,1,1,crowd,5.0
Baseline, Stolen vehicle recovered at abandoned warehouse on Industrial Drive.,Stolen vehicle recovered at abandoned warehouse on Industrial Drive.,0.0,,0,0,crowd,10.0
Fine-tuned, Stolen vehicle recovered at abandoned warehouse on Industrial Drive.,Stolen vehicle recovered at abandoned warehouse on Industrial Drive.,0.0,,0,0,crowd,10.0
Baseline, Multiple witnesses confirmed disturbance at the south entrance of the mall.,Multiple witnesses confirm disturbance at the south entrance of the mall.,0.09090909090909091,1.0,1,1,crowd,15.0
Fine-tuned, Multiple witnesses confirmed disturbance at the south entrance of the mall.,Multiple witnesses confirm disturbance at the south entrance of the mall.,0.09090909090909091,1.0,1,1,crowd,15.0
Baseline," Be advised, suspect is considered armed and dangerous. Proceed with caution.","Be advised, suspect is considered armed and dangerous, proceed with caution.",0.18181818181818182,1.0,1,1,crowd,5.0
Fine-tuned," Be advised, suspect is considered armed and dangerous. Proceed with caution.","Be advised, suspect is considered armed and dangerous, proceed with caution.",0.18181818181818182,1.0,1,1,crowd,5.0
Baseline," Traffic stop initiated on Silver sedan. License plate Alpha Bravo CHAR, LiE 123.","Traffic stop initiated on silver sedan, license plate Alpha-Bravo-Charlie-123.",0.8888888888888888,,0,0,crowd,5.0
Fine-tuned," Traffic stop initiated on Silver sedan. License plate Alpha Bravo CHAR, LiE 123.","Traffic stop initiated on silver sedan, license plate Alpha-Bravo-Charlie-123.",0.8888888888888888,,0,0,crowd,5.0
Baseline," Surveillance footage shows suspect entering the building at approximately 2,300 hours.",Surveillance footage shows suspect entering the building at approximately 2300 hours.,0.09090909090909091,1.0,2,2,crowd,15.0
Fine-tuned," Surveillance footage shows suspect entering the building at approximately 2,300 hours.",Surveillance footage shows suspect entering the building at approximately 2300 hours.,0.09090909090909091,1.0,2,2,crowd,15.0
Baseline," Witness describes perpetrator as male, approximately 6 feet 2 inches, wearing dark hoodie and jeans.","Witness describes perpetrator as male, approximately 6'2"", wearing dark hoodie and jeans.",0.3333333333333333,1.0,2,2,crowd,10.0
Fine-tuned," Witness describes perpetrator as male, approximately 6 feet 2 inches, wearing dark hoodie and jeans.","Witness describes perpetrator as male, approximately 6'2"", wearing dark hoodie and jeans.",0.3333333333333333,1.0,2,2,crowd,10.0
